字,辅码
𦗘,ey
𦗙,te
𦗚,ie
𦗛,ek
𦗜,ez
𦗝,et
𦗞,ek
𦗟,ex
𦗠,eh
𦗡,eu
𦗢,ek
𦗣,eh
𦗤,le
𦗥,xe
𦗦,je
𦗧,ek
𦗨,em
𦗩,eh
𦗪,ew
𦗫,ey
𦗬,eo
𦗭,te
𦗮,ev
𦗯,ek
𦗰,el
𦗱,we
𦗲,ef
𦗳,ei
𦗴,et
𦗵,ea
𦗶,je
𦗷,fe
𦗸,ej
𦗹,er
𦗺,te
𦗻,ek
𦗼,re
𦗽,eu
𦗾,je
𦗿,ce
𦘀,ez
𦘁,ee
𦘂,ej
𦘃,ce
𦘄,eu
𦘅,eb
𦘆,eb
𦘇,ew
𦘈,ea
𦘉,je
𦘊,ev
𦘋,eb
𦘌,je
𦘍,et
𦘏,ex
𦘐,eb
𦘑,ew
𦘒,yu
𦘓,yl
𦘔,yp
𦘕,ya
𦘖,dy
𦘗,uy
𦘘,yo
𦘙,yo
𦘚,yr
𦘛,yd
𦘜,yd
𦘝,ye
𦘞,ey
𦘟,hy
𦘠,yo
𦘡,yd
𦘢,yy
𦘣,yf
𦘤,yu
𦘥,hy
𦘦,hy
𦘧,ua
𦘨,yw
𦘩,ob
𦘪,ob
𦘫,br
𦘬,yr
𦘭,od
𦘮,ov
𦘯,os
𦘰,ok
𦘱,ob
𦘲,or
𦘳,ov
𦘴,oq
𦘵,oj
𦘶,oi
𦘷,oy
𦘸,ov
𦘹,ou
𦘺,os
𦘻,wr
𦘼,ko
𦘽,rn
𦘾,rw
𦘿,oy
𦙀,oy
𦙁,oh
𦙂,br
𦙃,vo
𦙄,xo
𦙅,oh
𦙆,ou
𦙇,oo
𦙈,ou
𦙉,oj
𦙊,ho
𦙋,ob
𦙌,yv
𦙍,po
𦙎,bo
𦙏,ov
𦙐,oa
𦙑,wo
𦙒,od
𦙓,oy
𦙔,vo
𦙕,on
𦙖,to
𦙗,ow
𦙘,oy
𦙙,ou
𦙚,uo
𦙛,ok
𦙜,ov
𦙝,od
𦙞,ox
𦙟,wo
𦙠,oa
𦙡,vr
𦙢,rl
𦙣,oa
𦙤,om
𦙥,ov
𦙦,ox
𦙧,ru
𦙨,od
𦙩,lr
𦙪,io
𦙫,ov
𦙬,oz
𦙭,od
𦙮,ob
𦙯,ro
𦙰,ot
𦙱,oc
𦙲,lr
𦙳,ox
𦙴,ov
𦙵,xo
𦙶,og
𦙷,oj
𦙸,oy
𦙹,ox
𦙺,lo
𦙻,oh
𦙼,vo
𦙽,oc
𦙾,ot
𦙿,ox
𦚀,oy
𦚁,os
𦚂,oy
𦚃,ov
𦚄,ou
𦚅,wo
𦚆,rp
𦚇,mr
𦚈,ou
𦚉,do
𦚊,ok
𦚋,so
𦚌,io
𦚍,wo
𦚎,lo
𦚏,lo
𦚐,ob
𦚑,ho
𦚒,rq
𦚓,rb
𦚔,ok
𦚕,og
𦚖,of
𦚗,oj
𦚘,rr
𦚙,rr
𦚚,ob
𦚛,dr
𦚜,ow
𦚝,od
𦚞,ow
𦚟,oi
𦚠,oi
𦚡,om
𦚢,ob
𦚣,og
𦚤,or
𦚥,of
𦚦,oi
𦚧,oo
𦚨,fr
𦚩,oa
𦚪,oc
𦚫,od
𦚬,ou
𦚭,oi
𦚮,rr
𦚯,eo
𦚰,od
𦚱,ol
𦚲,oi
𦚳,oe
𦚴,go
𦚵,ox
𦚶,ro
𦚷,rr
𦚸,od
𦚹,oh
𦚺,ov
𦚻,oj
𦚼,oq
𦚽,os
𦚾,wo
𦚿,oj
𦛀,oy
𦛁,ou
𦛂,kr
𦛃,rk
𦛄,wr
𦛅,rn
𦛆,lr
𦛇,dr
𦛈,oy
𦛉,oj
𦛊,oz
𦛋,ok
𦛌,oy
𦛍,or
𦛎,oj
𦛏,ot
𦛐,ob
𦛑,oi
𦛒,oo
𦛓,oj
𦛔,oz
𦛕,ol
𦛖,ov
𦛗,ok
𦛘,oi
𦛙,oi
𦛚,ok
𦛛,ox
𦛜,ok
𦛝,rr
𦛞,ob
𦛟,og
𦛠,ot
𦛡,oh
𦛢,ow
𦛣,oz
𦛤,ob
𦛥,of
𦛦,ow
𦛧,oh
𦛨,ol
𦛩,ok
𦛪,oe
𦛫,jo
𦛬,jo
𦛭,oj
𦛮,oe
𦛯,uo
𦛰,ov
𦛱,og
𦛲,oy
𦛳,oi
𦛴,oc
𦛵,ok
𦛶,re
𦛷,rc
𦛸,oy
𦛹,gr
𦛺,od
𦛻,oc
𦛼,ob
𦛽,ov
𦛾,oi
𦛿,ow
𦜀,oq
𦜁,rf
𦜂,oo
𦜃,od
𦜄,ow
𦜅,oe
𦜆,ou
𦜇,oi
𦜈,oa
𦜉,op
𦜊,oa
𦜋,od
𦜌,oy
𦜍,ow
𦜎,oi
𦜏,oq
𦜐,ol
𦜑,hr
𦜒,ow
𦜓,oq
𦜔,om
𦜕,ov
𦜖,oy
𦜗,no
𦜘,ov
𦜙,ox
𦜚,vo
𦜛,oj
𦜜,ir
𦜝,oo
𦜞,og
𦜟,ok
𦜠,ow
𦜡,oh
𦜢,oo
𦜣,ot
𦜤,oo
𦜥,os
𦜦,ox
𦜧,ob
𦜨,oo
𦜩,ox
𦜪,oa
𦜫,oa
𦜬,on
𦜭,oc
𦜮,ok
𦜯,oh
𦜰,ou
𦜱,oi
𦜲,oy
𦜳,oo
𦜴,oo
𦜵,ok
𦜶,of
𦜷,oo
𦜸,ou
𦜹,ho
𦜺,oy
𦜻,oi
𦜼,oj
𦜽,rd
𦜾,nr
𦜿,rj
𦝀,ou
𦝁,ob
𦝂,ou
𦝃,oa
𦝄,ow
𦝅,ox
𦝆,oa
𦝇,od
𦝈,or
𦝉,ou
𦝊,ot
𦝋,om
𦝌,oq
𦝍,pr
𦝎,dr
𦝏,od
𦝐,oe
𦝑,oo
𦝒,oy
𦝓,om
𦝔,ok
𦝕,sk
𦝖,oo
𦝗,oc
𦝘,rv
𦝙,cr
𦝚,om
𦝛,of
𦝜,od
𦝝,od
𦝞,od
𦝟,ol
𦝠,wu
𦝡,oc
𦝢,ot
𦝣,ok
𦝤,oy
𦝥,oj
𦝦,oo
𦝧,ob
𦝨,ob
𦝩,oo
𦝪,ot
𦝫,xo
𦝬,oq
𦝭,po
𦝮,oo
𦝯,oy
𦝰,ox
𦝱,oy
𦝲,or
𦝳,oq
𦝴,og
𦝵,ok
𦝶,ou
𦝷,ok
𦝸,uw
𦝹,oa
𦝺,od
𦝻,od
𦝼,on
𦝽,bo
𦝾,or
𦝿,oh
𦞀,ow
𦞁,ok
𦞂,ok
𦞃,ox
𦞄,uo
𦞅,wo
𦞆,ot
𦞇,oy
𦞈,ou
𦞉,rb
𦞊,rj
𦞋,er
𦞌,od
𦞍,yr
𦞎,op
𦞏,gr
𦞐,oe
𦞑,om
𦞒,oc
𦞓,oy
𦞔,og
𦞕,ou
𦞖,oo
𦞗,os
𦞘,ry
𦞙,og
𦞚,oo
𦞛,ok
𦞜,ox
𦞝,om
𦞞,og
𦞟,om
𦞠,ou
𦞡,ob
𦞢,ou
𦞣,oi
𦞤,ox
𦞥,ot
𦞦,ov
𦞧,ot
𦞨,ok
𦞩,jo
𦞪,oh
𦞫,bo
𦞬,ow
𦞭,og
𦞮,on
𦞯,oo
𦞰,oa
𦞱,rg
𦞲,oi
𦞳,og
𦞴,od
𦞵,ou
𦞶,ow
𦞷,on
𦞸,ok
𦞹,oc
𦞺,ow
𦞻,og
𦞼,of
𦞽,oo
𦞾,on
𦞿,ou
𦟀,wf
𦟁,ww
𦟂,om
𦟃,oy
𦟄,oa
𦟅,oa
𦟆,vo
𦟇,or
𦟈,ok
𦟉,og
𦟊,oj
𦟋,ok
𦟌,oy
𦟍,or
𦟎,yr
𦟏,oi
𦟐,om
𦟑,ok
𦟒,tv
𦟓,oo
𦟔,ow
𦟕,oo
𦟖,rm
𦟗,rv
𦟘,ob
𦟙,oh
𦟚,ob
𦟛,oo
𦟜,ob
𦟝,ro
𦟞,ou
𦟟,oa
𦟠,ox
𦟡,gr
𦟢,oo
𦟣,ow
𦟤,oi
𦟥,ou
𦟦,rd
𦟧,ok
𦟨,ow
𦟩,ov
𦟪,oi
𦟫,ot
𦟬,op
𦟭,oa
𦟮,oc
𦟯,ol
𦟰,oq
𦟱,ob
𦟲,mo
𦟳,og
𦟴,hr
𦟵,oz
𦟶,ov
𦟷,ok
𦟸,ow
𦟹,oc
𦟺,ob
𦟻,ok
𦟼,oc
𦟽,ou
𦟾,ok
𦟿,ov
𦠀,ot
𦠁,xu
𦠂,nr
𦠃,wo
𦠄,or
𦠅,oc
𦠆,og
𦠇,oo
𦠈,ok
𦠉,ob
𦠊,ov
𦠋,so
𦠌,oe
𦠍,on
𦠎,oq
𦠏,oo
𦠐,ow
𦠑,oq
𦠒,io
𦠓,io
𦠔,ot
𦠕,wr
𦠖,ob
𦠗,ro
𦠘,hl
𦠙,oo
𦠚,ok
𦠛,oo
𦠜,of
𦠝,ot
𦠞,xo
𦠟,ot
𦠠,ot
𦠡,ro
𦠢,oy
𦠣,ow
𦠤,ox
𦠥,oo
𦠦,oi
𦠧,ox
𦠨,ox
𦠩,ir
𦠪,rr
𦠫,pr
𦠬,sr
𦠭,ot
𦠮,go
𦠯,oa
𦠰,hu
𦠱,og
𦠲,ox
𦠳,oz
𦠴,ov
𦠵,ou
𦠶,tr
𦠷,po
𦠸,ox
𦠹,xh
𦠺,xb
𦠻,ob
𦠼,of
𦠽,ow
𦠾,oe
𦠿,oj
𦡀,ou
𦡁,ot
𦡂,ov
𦡃,ol
𦡄,oe
𦡅,oy
𦡆,oi
𦡇,rg
𦡈,wr
𦡉,oo
𦡊,ob
𦡋,oy
𦡌,jo
𦡍,ux
𦡎,oj
𦡏,od
𦡐,oy
𦡑,oj
𦡒,ro
𦡓,oy
𦡔,ov
𦡕,ob
𦡖,vo
𦡗,ox
𦡙,ow
𦡚,wo
𦡛,rb
𦡜,ur
𦡝,rw
𦡞,ou
𦡟,bw
𦡠,wo
𦡡,oc
𦡢,on
𦡣,oh
𦡤,ou
𦡥,og
𦡦,ov
𦡧,ow
𦡨,ap
𦡩,oe
𦡪,ob
𦡫,ow
𦡬,on
𦡭,jr
𦡮,oo
𦡯,oy
𦡰,oc
𦡱,ov
𦡲,od
𦡳,od
𦡴,oc
𦡵,ox
𦡶,om
𦡷,oc
𦡸,oz
𦡹,oh
𦡺,bo
𦡻,oj
𦡼,br
𦡽,ob
𦡾,co
𦡿,om
𦢀,ot
𦢁,ok
𦢂,od
𦢃,ok
𦢄,oy
𦢅,oi
𦢆,br
𦢇,bo
𦢈,ob
𦢉,oi
𦢊,ou
𦢋,of
𦢌,ob
𦢍,ot
𦢎,ob
𦢏,ot
𦢐,os
𦢑,ox
𦢒,ob
𦢓,ot
𦢔,ox
𦢕,oo
𦢖,po
𦢗,oy
𦢘,oc
𦢙,oj
𦢚,oo
𦢛,ox
𦢜,oh
𦢝,oy
𦢞,oo
𦢟,of
𦢠,or
𦢡,uo
𦢢,rt
𦢣,ox
𦢤,ob
𦢥,ok
𦢦,oh
𦢧,oo
𦢨,oj
𦢩,oa
𦢪,oo
𦢫,ol
𦢬,ox
𦢭,ob
𦢮,og
𦢯,ob
𦢰,jr
𦢱,yf
𦢲,oh
𦢳,hw
𦢴,oq
𦢵,oh
𦢶,oy
𦢷,om
𦢸,oc
𦢹,od
𦢺,oh
𦢻,rr
𦢼,wb
𦢽,br
𦢾,oz
𦢿,ok
𦣀,oe
𦣁,oh
𦣂,ob
𦣃,om
𦣄,wu
𦣅,oc
𦣆,of
𦣇,ov
𦣈,oc
𦣉,wy
𦣊,co
𦣋,ox
𦣌,oa
𦣍,od
𦣎,ov
𦣏,xo
𦣐,xx
𦣑,oh
𦣒,oy
𦣓,lo
𦣔,wg
𦣕,of
𦣖,wo
𦣗,ow
𦣘,oy
𦣙,oy
𦣚,cr
𦣛,ox
𦣜,ou
𦣝,ii
𦣞,ii
𦣟,ui
𦣠,iw
𦣡,if
𦣢,ij
𦣣,ig
𦣤,il
𦣥,ib
𦣦,ii
𦣧,ij
𦣨,iw
𦣩,ii
𦣪,im
𦣫,ib
𦣬,in
𦣭,wi
𦣮,zi
𦣯,iy
𦣰,ub
𦣱,ib
𦣲,ie
𦣳,ih
𦣴,iy
𦣵,iw
𦣶,ib
𦣷,ig
𦣸,dm
𦣹,ke
𦣺,zl
𦣻,az
𦣼,ke
𦣽,vb
𦣾,zw
𦣿,zl
𦤀,zd
𦤁,zw
𦤂,zu
𦤃,zw
𦤄,cz
𦤅,cz
𦤆,zy
𦤇,zy
𦤈,zr
𦤉,zg
𦤊,zi
𦤋,uz
𦤌,zy
𦤎,zb
𦤏,zt
𦤐,zb
𦤑,zf
𦤒,zp
𦤓,zu
𦤔,zf
𦤕,zg
𦤖,zu
𦤗,zu
𦤘,wz
𦤙,zi
𦤚,zy
𦤛,zf
𦤜,zp
𦤝,zk
𦤞,da
𦤟,pq
𦤠,zh
𦤡,zb
𦤢,dc
𦤣,uq
𦤤,zv
𦤥,zx
𦤦,zr
𦤧,zu
𦤨,zm
𦤩,zj
𦤪,oq
𦤫,zw
𦤬,zk
𦤭,zh
𦤮,zq
𦤯,zl
𦤰,zb
𦤱,zx
𦤲,jz
𦤳,gf
𦤴,kt
𦤵,yt
𦤶,gw
𦤷,gj
𦤸,it
𦤹,gb
𦤺,gy
𦤻,gt
𦤼,tt
𦤽,gb
𦤾,gd
𦤿,ft
𦥀,gy
𦥁,st
𦥂,tt
𦥃,gb
𦥄,ct
𦥅,ga
𦥆,ft
𦥇,gt
𦥈,yt
𦥉,bk
𦥊,zt
𦥋,dt
𦥌,go
𦥍,gw
𦥎,tt
𦥏,gt
𦥐,sw
𦥑,pe
𦥓,px
𦥔,jj
𦥕,jv
𦥖,jl
𦥗,jl
𦥘,jc
𦥙,jp
𦥚,jk
𦥛,qj
𦥜,xj
𦥝,vj
𦥞,jq
𦥟,je
𦥠,jy
𦥡,jj
𦥢,de
𦥣,jy
𦥤,jw
𦥥,jp
𦥦,jw
𦥧,jv
𦥨,jb
𦥩,jo
𦥪,jy
𦥬,jv
𦥭,nj
𦥯,jb
𦥰,jg
𦥱,jj
𦥲,qj
𦥳,jl
𦥴,rj
𦥵,dk
𦥶,jl
𦥷,jo
𦥸,jy
𦥹,ju
𦥻,jt
𦥼,lx
𦥽,wj
𦥾,ne
𦥿,gj
𦦀,jl
𦦁,jv
𦦂,jj
𦦃,be
𦦄,oj
𦦅,jt
𦦆,jx
𦦇,je
𦦈,jj
𦦉,jd
𦦊,el
𦦋,jt
𦦌,vk
𦦍,jt
𦦎,jg
𦦏,wj
𦦐,jc
𦦑,jf
𦦒,jy
𦦓,re
𦦔,jd
𦦕,qr
𦦖,yj
𦦗,ja
𦦘,qz
𦦙,jf
𦦚,jr
𦦛,jq
𦦜,iv
𦦝,jl
𦦞,jl
𦦟,jd
𦦠,ju
𦦡,jl
𦦢,xj
𦦣,jy
𦦤,jq
𦦥,jg
𦦦,jw
𦦧,jl
𦦨,vh
𦦩,jv
𦦪,jj
𦦫,jk
𦦬,jo
𦦭,jw
𦦮,jw
𦦯,jv
𦦰,jc
𦦱,ij
𦦲,jb
𦦳,jx
𦦴,jb
𦦵,jg
𦦶,ji
𦦷,jd
𦦸,jw
𦦹,kj
𦦺,ik
𦦻,jd
𦦼,jx
𦦽,xj
𦦾,ic
𦦿,be
𦧀,jh
𦧁,jf
𦧂,jd
𦧃,uj
𦧄,tc
𦧅,jb
𦧆,ua
𦧇,uy
𦧈,uv
𦧉,uv
𦧊,uy
𦧋,un
𦧌,uc
𦧍,vu
𦧎,ru
𦧏,uj
𦧐,su
𦧑,ub
𦧒,ug
𦧓,uy
𦧔,ug
𦧕,du
𦧖,ux
𦧗,zu
𦧘,ru
𦧙,uw
𦧚,uu
𦧛,uk
𦧜,ul
𦧝,uv
𦧞,uk
𦧟,uo
𦧠,bu
𦧡,hu
𦧢,ua
𦧣,uc
𦧤,ua
𦧥,uu
𦧦,uy
𦧧,uz
𦧨,wu
𦧩,uk
𦧪,ou
𦧫,uu
𦧬,hu
𦧭,ux
𦧮,uk
𦧯,ux
𦧰,zu
𦧱,ub
𦧲,ux
𦧳,uu
𦧴,uu
𦧵,uu
𦧶,yg
𦧷,uj
𦧸,rg
𦧹,ur
𦧺,ub
𦧻,ut
𦧼,uj
𦧽,ui
𦧾,mu
𦧿,hv
𦨀,af
𦨁,vv
𦨂,gf
𦨃,kt
𦨄,kv
𦨅,df
𦨆,bf
𦨇,vv
𦨈,vr
𦨉,vd
𦨊,vv
𦨋,vn
𦨌,vv
𦨍,vd
𦨎,vq
𦨏,vv
𦨐,vd
𦨑,vc
𦨒,vg
𦨓,vu
𦨔,vd
𦨕,vy
𦨖,vu
𦨗,vy
𦨘,vw
𦨙,vo
𦨚,vq
𦨛,vg
𦨜,vg
𦨝,vh
𦨞,vy
𦨟,vv
𦨠,vy
𦨡,vf
𦨢,vu
𦨣,vk
𦨤,yv
𦨥,vi
𦨦,lv
𦨧,vo
𦨨,vv
𦨩,vl
𦨪,vd
𦨫,vp
𦨬,vy
𦨭,vp
𦨮,vg
𦨯,vu
𦨰,ve
𦨱,vy
𦨲,vv
𦨳,vt
𦨴,vk
𦨵,vd
𦨶,vt
𦨷,vg
𦨸,vf
𦨹,vv
𦨺,yv
𦨻,vg
𦨼,vk
𦨽,vv
𦨾,vl
𦨿,vt
𦩀,vr
𦩁,va
𦩂,vz
𦩃,vx
𦩄,vt
𦩅,vg
𦩆,vw
𦩇,vy
𦩈,vu
𦩉,sv
𦩊,ve
𦩋,vf
𦩌,vz
𦩍,vk
𦩎,vc
𦩏,vv
𦩐,vb
𦩑,vl
𦩒,vy
𦩓,vs
𦩔,vp
𦩕,vj
𦩖,vu
𦩗,vh
𦩘,vz
𦩙,vi
𦩚,pw
𦩛,pb
𦩜,vk
𦩝,vo
𦩞,vd
𦩟,vw
𦩠,vu
𦩡,vt
𦩢,vk
𦩣,vd
𦩤,vq
𦩥,vr
𦩦,vp
𦩧,zv
𦩨,vy
𦩩,vn
𦩪,va
𦩫,vj
𦩬,vn
𦩭,vx
𦩮,vy
𦩯,vq
𦩰,vv
𦩱,vt
𦩲,vy
𦩳,po
𦩴,vb
𦩵,vj
𦩶,vd
𦩷,vr
𦩸,vg
𦩹,vj
𦩺,va
𦩻,uv
𦩼,vb
𦩽,vb
𦩾,vf
𦩿,vj
𦪀,vk
𦪁,vx
𦪂,vz
𦪃,vu
𦪄,vw
𦪅,vw
𦪆,vt
𦪇,vb
𦪈,fv
𦪉,vv
𦪊,vx
𦪋,vi
𦪌,vk
𦪍,vb
𦪎,vf
𦪏,vy
𦪑,vu
𦪒,vb
𦪓,va
𦪔,vw
𦪕,vx
𦪖,vt
𦪗,vb
𦪘,vq
𦪙,vx
𦪚,vc
𦪛,vw
𦪜,vx
𦪝,vx
𦪞,vk
𦪟,vp
𦪠,vf
𦪡,vy
𦪢,vu
𦪣,kv
𦪤,vf
𦪥,vb
𦪧,vw
𦪨,vl
𦪩,vs
𦪪,vf
𦪫,vm
𦪬,vq
𦪭,vy
𦪮,vg
𦪯,vm
𦪰,fv
𦪱,iv
𦪳,vu
𦪴,vv
𦪵,vb
𦪶,vi
𦪷,vt
𦪸,vb
𦪹,vm
𦪺,vi
𦪽,vl
𦪾,vv
𦪿,lv
𦫀,vm
𦫁,vk
𦫂,vb
𦫃,vk
𦫄,vy
𦫅,vb
𦫆,vi
𦫇,vy
𦫈,vi
𦫉,vb
𦫊,vr
𦫋,wg
𦫌,hg
𦫍,dk
𦫎,lg
𦫏,dk
𦫐,dl
𦫑,vl
𦫒,cg
𦫓,dx
𦫔,bb
𦫕,wb
𦫖,db
𦫗,pb
𦫘,dy
𦫙,bb
𦫚,db
𦫛,ub
𦫜,db
𦫝,sb
𦫞,db
𦫟,hb
𦫠,ib
𦫡,cb
𦫢,xb
𦫣,eb
𦫤,dy
𦫥,mb
𦫦,vb
𦫧,yb
𦫨,wb
𦫩,kb
𦫪,bb
𦫫,gb
𦫬,vb
𦫭,bb
𦫮,kb
𦫯,qb
𦫰,cb
𦫱,zb
𦫲,xb
𦫳,cl
𦫴,cv
𦫶,cj
𦫷,cv
𦫸,cr
𦫺,cp
𦫻,cr
𦫼,cl
𦫽,ce
𦫾,cv
𦫿,cy
𦬀,ck
𦬁,cc
𦬂,cw
𦬃,cq
𦬄,cd
𦬅,ck
𦬆,cr
𦬇,cc
𦬈,cv
𦬉,cv
𦬊,cs
𦬋,cl
𦬌,cl
𦬍,cy
𦬎,cy
𦬏,cc
𦬐,cy
𦬑,cn
𦬒,cf
𦬓,cy
𦬔,cv
𦬕,cv
𦬖,cj
𦬗,cg
𦬘,cg
𦬙,cb
𦬚,ch
𦬛,cg
𦬜,cy
𦬝,cv
𦬞,ct
𦬟,cw
𦬠,cu
𦬡,cu
𦬢,cc
𦬣,cy
𦬤,cy
𦬥,cj
𦬦,cq
𦬧,cu
𦬨,ci
𦬩,cl
𦬪,cd
𦬫,cq
𦬬,cw
𦬭,cu
𦬮,ce
𦬯,cu
𦬰,cw
𦬱,cc
𦬲,cw
𦬳,cv
𦬴,cv
𦬵,cc
𦬶,cw
𦬷,cd
𦬸,cu
𦬹,cd
𦬺,cx
𦬻,cy
𦬼,cx
𦬽,cb
𦬾,cx
𦬿,ca
𦭀,cj
𦭁,cy
𦭃,cb
𦭄,cp
𦭅,cb
𦭆,cw
𦭇,cy
𦭈,cw
𦭉,cj
𦭊,cd
𦭋,cl
𦭌,cb
𦭍,ci
𦭎,ce
𦭏,cp
𦭐,ci
𦭑,cd
𦭒,cv
𦭓,cu
𦭔,cy
𦭕,cu
𦭖,cj
𦭗,cr
𦭘,ce
𦭙,ce
𦭚,cu
𦭛,cq
𦭜,cv
𦭝,cs
𦭞,cy
𦭟,cy
𦭠,ce
𦭡,ck
𦭢,cj
𦭣,cd
𦭤,cx
𦭥,cy
𦭦,cv
𦭧,cj
𦭨,cy
𦭩,cc
𦭪,cx
𦭫,ce
𦭬,cj
𦭭,ce
𦭮,cx
𦭯,cn
𦭰,cn
𦭱,cg
𦭲,cg
𦭳,cx
𦭴,cv
𦭵,cy
𦭶,ce
𦭷,cn
𦭸,cv
𦭹,ch
𦭺,cj
𦭻,cj
𦭼,cy
𦭽,cy
𦭾,cs
𦭿,cy
𦮀,ce
𦮁,cv
𦮂,co
𦮃,cb
𦮄,ca
𦮅,cj
𦮆,cy
𦮇,ca
𦮈,cy
𦮊,ci
𦮋,cv
𦮌,co
𦮍,cu
𦮎,cg
𦮏,ck
𦮐,cd
𦮑,ck
𦮒,cw
𦮓,cd
𦮔,cf
𦮕,cx
𦮖,cj
𦮗,cn
𦮘,cn
𦮙,ck
𦮚,cs
𦮛,cj
𦮜,cd
𦮝,cw
𦮞,cx
𦮟,cr
𦮠,ca
𦮡,cx
𦮢,cu
𦮣,cy
𦮤,cx
𦮥,cd
𦮦,ce
𦮧,cf
𦮨,cg
𦮩,cv
𦮪,cf
𦮫,cw
𦮬,ct
𦮭,cu
𦮮,cy
𦮯,cd
𦮰,cb
𦮱,cw
𦮲,cv
𦮳,cv
𦮴,cn
𦮵,cr
𦮶,cw
𦮷,cb
𦮸,cu
𦮹,cb
𦮺,cs
𦮻,co
𦮼,cx
𦮽,ck
𦮾,cn
𦮿,cl
𦯀,ct
𦯁,ct
𦯃,ck
𦯄,cl
𦯅,cy
𦯆,ch
𦯇,cx
𦯈,cy
𦯉,cb
𦯊,cg
𦯋,cf
𦯌,cx
𦯍,cv
𦯎,cw
𦯏,cl
𦯐,ck
𦯑,cu
𦯒,ce
𦯓,cq
𦯔,cd
𦯕,ca
𦯖,ct
𦯗,ck
𦯘,cy
𦯙,cy
𦯚,ck
𦯛,cr
𦯜,ce
𦯝,cx
𦯞,cy
𦯟,ck
𦯠,cv
𦯡,cx
𦯢,cg
𦯣,cq
𦯤,ce
𦯥,ch
𦯦,ce
𦯧,ca
𦯨,cu
𦯩,cw
𦯪,cu
𦯫,cy
𦯬,cu
𦯭,cl
𦯮,cm
𦯯,cr
𦯰,cu
𦯱,ci
𦯲,cw
𦯳,cc
𦯴,cr
𦯵,ce
𦯶,ck
𦯷,cu
𦯸,cj
𦯹,cx
𦯺,cn
𦯻,cw
𦯼,cg
𦯽,cn
𦯾,ck
𦯿,cc
𦰀,cx
𦰁,cz
𦰂,ch
𦰃,cc
𦰄,cv
𦰅,ck
𦰆,cm
𦰇,cn
𦰈,cd
𦰉,cv
𦰊,cz
𦰋,ck
𦰌,ce
𦰍,cx
𦰎,cx
𦰏,ca
𦰐,cs
𦰑,cy
𦰒,cu
𦰓,cm
𦰔,ca
𦰕,ca
𦰖,cl
𦰗,cu
𦰘,cu
𦰙,cb
𦰚,cy
𦰛,cf
𦰜,cy
𦰝,ck
𦰞,cy
𦰟,cy
𦰠,cg
𦰡,ce
𦰢,ce
𦰣,cu
𦰤,cn
𦰥,ce
𦰦,cw
𦰧,ca
𦰨,cy
𦰩,ct
𦰪,cr
𦰫,cb
𦰬,cj
𦰭,ct
𦰮,cb
𦰯,ck
𦰰,cj
𦰱,ck
𦰲,cy
𦰳,cy
𦰴,cx
𦰵,cd
𦰶,cj
𦰷,cu
𦰸,cx
𦰹,cy
𦰺,cu
𦰻,cq
𦰼,cv
𦰽,cp
𦰾,cb
𦰿,cx
𦱀,co
𦱁,cx
𦱂,ca
𦱃,cm
𦱄,cg
𦱅,cg
𦱆,cb
𦱇,cg
𦱈,cu
𦱉,cv
𦱊,cy
𦱋,co
𦱌,cu
𦱍,cm
𦱎,cc
𦱏,cx
𦱐,cw
𦱑,cu
𦱒,cw
𦱓,cc
𦱔,cb
𦱕,ck
𦱖,cc
𦱗,co
𦱘,cf
𦱙,ci
𦱚,cy
𦱛,cw
𦱜,cu
𦱝,cd
𦱞,cm
𦱟,cw
𦱠,cj
𦱡,ce
𦱢,cv
𦱣,cm
𦱤,co
𦱥,cv
𦱧,cb
𦱨,cx
𦱩,ca
𦱪,ci
𦱫,cm
𦱬,ct
𦱭,cb
𦱮,cr
𦱯,ca
𦱰,cd
𦱱,cl
𦱲,cr
𦱳,cy
𦱴,cc
𦱵,cu
𦱶,cr
𦱷,ch
𦱸,cj
𦱹,cc
𦱺,cw
𦱻,ch
𦱼,cv
𦱽,cr
𦱾,cp
𦱿,cw
𦲀,ck
𦲁,cb
𦲃,cs
𦲄,cg
𦲅,cj
𦲆,cj
𦲇,cw
𦲈,cj
𦲉,cu
𦲊,ch
𦲋,cf
𦲌,ch
𦲍,cb
𦲎,cx
𦲏,cf
𦲐,cl
𦲑,cu
𦲒,ct
𦲓,ch
𦲔,cv
𦲕,cy
𦲖,cv
𦲗,cu
𦲘,cw
𦲙,cu
𦲚,cq
𦲛,cb
𦲜,ca
𦲝,cm
𦲞,cs
𦲟,cd
𦲠,cs
𦲡,ct
𦲢,cr
𦲣,ct
𦲤,cy
𦲥,cy
𦲦,cj
𦲧,cg
𦲨,cl
𦲩,ce
𦲪,cy
𦲫,cf
𦲬,cm
𦲭,co
𦲮,ce
𦲯,cw
𦲰,ck
𦲱,cc
𦲲,cw
𦲴,cw
𦲵,cv
𦲶,ci
𦲷,cl
𦲸,cy
𦲹,cw
𦲺,cl
𦲻,cw
𦲼,cu
𦲽,cq
𦲾,cq
𦳀,cw
𦳁,cm
𦳂,cy
𦳃,ce
𦳄,cg
𦳅,cn
𦳆,cx
𦳇,cu
𦳈,cb
𦳉,co
𦳊,cd
𦳋,cy
𦳌,cx
𦳍,cg
𦳎,cq
𦳏,cq
𦳐,cu
𦳑,ca
𦳒,ch
𦳓,cj
𦳔,cy
𦳕,cu
𦳖,zk
𦳗,co
𦳘,cd
