ā bà	阿壩
hù jià gōu cūn	護駕溝村
hú jiā guǎi cūn	胡家拐村
hú jiā hé cūn	胡家河村
hú jiā hé xiāng	胡家河鄉
hū jiā jiǎn cūn	呼家礆村
hú jiā jiē cūn	胡家街村
hú jiā jiē dào	胡家街道
hú jiā jǔ cūn	胡家咀村
hú jiā kǒu cūn	胡家口村
hú jiā kuǎng cūn	胡家夼村
hú jiā lín cūn	胡家林村
hú jiā lǐng cūn	胡家嶺村
hú jiā lóu cūn	胡家樓村
hū jiā lóu zhàn	呼家樓站
hú jiā mǎo cūn	胡家峁村
hú jiā miào cūn	胡家廟村
hú jiā miào xiāng	胡家廟鄉
hú jiā péng cūn	胡家棚村
hú jiā píng cūn	胡家坪村
hū jiā píng cūn	呼家坪村
hú jiā pō cūn	胡家坡村
hū jiā pō cūn	呼家坡村
hú jiā qiáo cūn	胡家橋村
hū jiā qú cūn	呼家渠村
hú jiā qú cūn	胡家渠村
hú jiā quán cūn	胡家泉村
hú jiā shān cūn	胡家山村
hū jiā shān cūn	呼家山村
hú jiā tǎ cūn	胡家塔村
hū jiā tā cūn	呼家塌村
hū jiā tǎ cūn	呼家塔村
hú jiā tā cūn	胡家塌村
hú jiā tái cūn	胡家臺村
hù jiā tān cūn	扈家灘村
hú jiā tuǎn cūn	胡家疃村
hú jiā tún cūn	胡家屯村
hú jiā tuó zhèn	胡家坨鎮
hú jiā wā cūn	胡家窪村
hú jiā wān cūn	胡家灣村
hǔ jiā wān cūn	虎家灣村
hū jiā wān cūn	呼家灣村
hú jiā wàng cūn	胡家旺村
hú jiā wō bǎo	胡家窩堡
hú jiā xiàng cūn	胡家巷村
hú jiā yán cūn	胡家岩村
hú jiā yàn cūn	胡家墕村
hú jiā yáo cūn	胡家窯村
hú jiā yíng cūn	胡家營村
hù jià yíng cūn	護駕營村
hú jiā yíng xiāng	胡家營鄉
hú jiā yíng zhèn	胡家營鎮
hú jiā yù cūn	胡家峪村
hú jiā yuán cūn	胡家塬村
hú jiā yuán cūn	胡家園村
hù jiā yuán cūn	滬家塬村
hù jiā yuán cūn	戶家塬村
hú jiā yuàn cūn	胡家院村
hū jiā yuán cūn	呼家塬村
hú jiā yuán zhàn	胡家園站
hù jiā yuán zhèn	戶家塬鎮
hú jiā zhài cūn	胡家寨村
hú jiā zhái cūn	胡家宅村
hú jiā zhuāng cūn	胡家莊村
hū jiā zhuāng cūn	呼家莊村
hú jiā zhuāng xiāng	胡家莊鄉
hú jiā zuǒ cūn	胡家佐村
hú jiān shān cūn	胡尖山村
hú jīn diàn zhèn	胡金店鎮
hū jīng tù cūn	忽驚兔村
hú jiǔ zhēn zhèn	湖九真鎮
hú kēng dòng cūn	壺坑洞村
hū lán jiē dào	呼蘭街道
hū lán nóng kěn	呼蘭農墾
hū léi shān cūn	忽雷山村
hú lì hǎi zhèn	胡力海鎮
hú lǐ jiē dào	湖裏街道
hú li jìn cūn	狐狸進村
hú li mù cūn	狐狸墓村
hú lǐ shè qū	湖里社區
hú lí zhài cūn	胡梨寨村
hú lǐ zhuāng cūn	胡里莊村
hú lín bù cūn	湖淋埠村
hù lín gōu cūn	護林溝村
hú lín jiā xiāng	胡林家鄉
hú lín zhài cūn	胡林寨村
hǔ lóng dòu cūn	虎龍鬥村
hù lóng shān zhuāng	護龍山莊
hú lóu jí cūn	胡婁集村
hú lu ān cūn	葫蘆庵村
hú lu chà cūn	葫蘆岔村
hú lu dàn cūn	葫蘆旦村
hú lu dǎo shì	葫蘆島市
hú lu dǎo zhàn	葫蘆島站
hú lu fá cūn	葫蘆垡村
hú lu gōu cūn	葫蘆溝村
hú lu kǒu cūn	葫蘆口村
hú lu mén cūn	葫蘆門村
hú lu péng cūn	葫蘆棚村
hú lu sì cūn	葫蘆寺村
hú lu tāng cūn	葫蘆湯村
hú lu táng cūn	葫蘆塘村
hú lu tào cūn	葫蘆套村
hú lu tào xiāng	葫蘆套鄉
hú lu tóu cūn	葫蘆頭村
hú lu xì cūn	葫蘆細村
hǔ lù xiàn cūn	虎路線村
hù lù xīn zhuāng	護路辛莊
hú lǔ yíng cūn	胡魯營村
hú lu yù cūn	葫蘆峪村
hú lu zhuāng cūn	葫蘆莊村
hū lún bèi ěr	呼倫貝爾
hū lún jiē dào	呼倫街道
hū mǎ èr cūn	呼瑪二村
hú má liáng cūn	葫麻梁村
hū mǎ sān cūn	呼瑪三村
hū mǎ xīn cūn	呼瑪新村
hū mǎ yī cūn	呼瑪一村
hú má yíng xiāng	胡麻營鄉
hú má yíng zhèn	胡麻營鎮
hú mǎ zhài cūn	胡馬寨村
hú mài xiù zhèn	湖麥秀鎮
hú méi jiàn cūn	胡梅澗村
hú mì chéng cūn	胡密城村
hú mù lì xiāng	胡穆利鄉
hú nán ào xiāng	湖南坳鄉
hú nán bà cūn	胡南壩村
hú nán cháng dé	湖南常德
hú nán cháng shā	湖南長沙
hú nán chēn zhōu	湖南郴州
hú nán dào xiàn	湖南道縣
hú nán héng yáng	湖南衡陽
hú nán huái huà	湖南懷化
hú nán jiē dào	湖南街道
hú nán lǐ líng	湖南醴陵
hú nán lǐ xiàn	湖南澧縣
hú nán lóu dǐ	湖南婁底
hú nán shào yáng	湖南邵陽
hú nán xiāng tán	湖南湘潭
hú nán xiāng xiāng	湖南湘鄉
hú nán yì yáng	湖南益陽
hú nán yǒng zhōu	湖南永州
hú nán yōu xiàn	湖南攸縣
hú nán yuè yáng	湖南岳陽
hú nán zhū zhōu	湖南株洲
hú pí tóu cūn	胡皮頭村
hú píng gōu cūn	壺瓶溝村
hú píng shān zhèn	壺瓶山鎮
hǔ pò dōng cūn	琥珀東村
hǔ pò jiē dào	琥珀街道
hǔ pò shān zhuāng	琥珀山莊
hǔ pò zhōng cūn	琥珀中村
hú pǔ lún xiàn	湖普倫縣
hú qiáo jiē dào	胡橋街道
hú qiáo tóu cūn	湖橋頭村
hǔ qiū jiē dào	虎丘街道
hú quán diàn cūn	湖泉店村
hú rì ěr cūn	胡日爾村
hú rì ěr zhèn	胡日爾鎮
hǔ shān jiē dào	滸山街道
hǔ shān jiē dào	虎山街道
hú shān jiē dào	壺山街道
hú shàng yú cūn	湖上漁村
hú shàng yuàn cūn	湖上院村
hǔ shén gōu cūn	虎神溝村
hǔ shí hā zhèn	虎什哈鎮
hù shí jiē dào	笏石街道
hú shí mén cūn	胡石門村
hú shí qiáo cūn	胡石橋村
hǔ shí tái zhèn	虎石台鎮
hú shí yáo cūn	胡石窯村
hú shù gōu cūn	胡樹溝村
hú shú jiē dào	湖熟街道
hú shù jiē dào	湖墅街道
hú shù xīn cūn	湖墅新村
hú sì jiē dào	湖泗街道
hǔ tái jiē dào	虎臺街道
hǔ tái xī cūn	虎臺溪村
hù tài xīn cūn	滬太新村
hù tái yíng cūn	戶臺營村
hǔ tān jiē dào	虎灘街道
hú táng jiē dào	湖塘街道
hú tè sēn cūn	胡特森村
hú tián jiē dào	湖田街道
hú tiān qiáo cūn	湖天橋村
hǔ tiào shuǐ cūn	虎跳水村
hǔ tiào xiá zhèn	虎跳峽鎮
hú tóu chén cūn	湖頭陳村
hú tóu dù cūn	湖頭渡村
hǔ tóu gǎng xiāng	虎頭崗鄉
hǔ tóu luò cūn	虎頭落村
hǔ tóu mǎo cūn	虎頭峁村
hú tóu shè qū	湖頭社區
hǔ tóu yá cūn	虎頭崖村
hǔ tóu yá zhèn	虎頭崖鎮
hù tóu zhuāng cūn	戶頭莊村
hū tú bì xiàn	呼圖壁縣
hū tú bì zhàn	呼圖壁站
hū tú bì zhèn	呼圖壁鎮
hú tǔ gé cūn	胡吐格村
hū tuó zhài cūn	呼沱寨村
hǔ wáng jí cūn	虎王集村
hǔ xī jiē dào	虎溪街道
hú xī jiē dào	湖西街道
hú xī qiáo zhàn	湖西橋站
hǔ xī shè qū	虎溪社區
hú xī táng cūn	湖溪塘村
hú xī tóu cūn	湖西頭村
hú xī xīn cūn	湖西新村
hù xiàn dōng zhàn	戶縣東站
hú xiāng píng cūn	湖湘坪村
hú xiàng shè qū	湖橡社區
hǔ xiào liú cūn	虎嘯劉村
hǔ xiào pù cūn	虎嘯鋪村
hú xīn yáo cūn	胡新窯村
hú xīn zhuāng cūn	胡辛莊村
hú xīng jiē dào	斛興街道
hǔ xíng shān cūn	虎形山村
hǔ xíng shān xiāng	虎形山鄉
hú xīng zhuāng cūn	胡興莊村
hǔ yá jiē dào	虎牙街道
hú yàn jiē cūn	胡堰街村
hú yáng hé shì	胡楊河市
hú yáng jiē dào	胡楊街道
hú yáng lín chǎng	胡楊林場
hú yáng zhuāng cūn	胡楊莊村
hú yǒng jiē cūn	胡勇街村
hú yù kǒu cūn	胡峪口村
hú yuàn xīn cūn	湖苑新村
hǔ zhǎng gōu cūn	虎掌溝村
hú zhāng gōu cūn	胡張溝村
hú zhāng zhuāng cūn	胡張莊村
hú zhàng zi cūn	胡杖子村
hú zhōu ān jí	湖州安吉
hú zhōu dé qīng	湖州德清
hú zhōu jiē dào	湖州街道
hú zhōu nán xún	湖州南潯
hú zhōu wú xīng	湖州吳興
hú zhōu zhǎng xīng	湖州長興
hú zhuāng zǐ cūn	胡莊子村
hú zǔ kēng cūn	胡祖坑村
hú zú pù zhèn	胡族鋪鎮
huā bǎn qiáo cūn	花板橋村
huá bāng xīn cūn	華浜新村
huā bào qú cūn	花豹渠村
huā bào wān cūn	花豹灣村
huá bǎo xīn cūn	華寶新村
huà běi tún xiāng	化北屯鄉
huá bīn xīn cūn	華濱新村
huā bù quān cūn	花埠圈村
huá cáng sì cūn	華藏寺村
huá cáng sì zhèn	華藏寺鎮
huā cǎo mén cūn	花草門村
huá chǎng gōu cūn	鏵廠溝村
huá chāng jiē dào	華昌街道
huā chéng jiē dào	花城街道
huà chéng jiē dào	化成街道
huā chéng shè qū	花城社區
huá chéng shè qū	華城社區
huá chéng xīn cūn	華城新村
huā chí dù cūn	花池渡村
huā cí táng cūn	花祠堂村
huá dà jiē dào	華大街道
huā dì jiē dào	花地街道
huā dī kǒu cūn	花堤口村
huā dì wān zhàn	花地灣站
huá diàn xīn cūn	華電新村
huá dōng jiē dào	驊東街道
huá dōng jiē dào	華東街道
huā dōng xīn cūn	花東新村
huā dōng zhèn zhèn	花東鎮鎮
huā dūn gōu cūn	花墩溝村
huā ěr píng cūn	花耳坪村
huá fèng ān cūn	華鳳庵村
huá fèng jiē dào	華鳳街道
huá fēng shè qū	華豐社區
huá fēng xīn cūn	華豐新村
huá fù jiē dào	華富街道
huá fú shān zhuāng	華福山莊
huá fú shè qū	華福社區
huá gāo xīn cūn	華高新村
huà gé sì cūn	化閣寺村
huà gōng jiē dào	化工街道
huà gōng yuán qū	化工園區
huā gǔ jiē dào	花古街道
huā gǔ mù cūn	花古墓村
huā gǔ shí cūn	花鼓石村
huā guān yíng xiāng	花官營鄉
huá guāng shè qū	華光社區
huá guì shān cūn	華桂山村
huā guǒ fàn cūn	花果畈村
huā guǒ jiē dào	花果街道
huā guǒ shān cūn	花果山村
huā guǒ shān xiāng	花果山鄉
huā guǒ shān zhuāng	花果山莊
huā guǒ sì cūn	花果寺村
huā guǒ yù cūn	花果峪村
huā guǒ yuán cūn	花果園村
huā guǒ zhuāng cūn	花果莊村
huá hé tún cūn	滑河屯村
huā hú jiē dào	花湖街道
huà jī jiē dào	化機街道
huá jiā diàn cūn	華家店村
huá jiā diàn cūn	華家墊村
huā jiā diàn cūn	花家店村
huā jiā dù cūn	花家渡村
huá jiā gōu cūn	華家溝村
huā jiā guān zhuāng	花家官莊
huá jiā hé cūn	華家河村
huá jiā hé zhèn	華家河鎮
huá jiā jiē dào	華家街道
huā jiā lǐng cūn	花家嶺村
huá jiā lǐng cūn	華家嶺村
huá jiā lǐng xiāng	華家嶺鄉
huá jiā lǐng zhèn	華家嶺鎮
huā jiā píng cūn	花家坪村
huá jiā píng cūn	華家坪村
huá jiā qiáo cūn	華家橋村
huá jiā shān cūn	華家山村
huà jiā shān cūn	化家山村
huā jiā shān zhuāng	花家山莊
huá jiā tún zhèn	華家屯鎮
huá jiā wù cūn	華家務村
huā jiā yǎo cūn	花家崾村
huá jiā zhài cūn	華家寨村
huā jiā zhuāng cūn	花家莊村
huá jiā zhuāng cūn	華家莊村
huà jiàn xīn cūn	化建新村
huá jiān zi zhèn	鏵尖子鎮
huà jiàng gōu cūn	化匠溝村
huá jiāng xīn cūn	華江新村
huā jiāo gōu cūn	花椒溝村
huā jiāo yuán cūn	花椒園村
huá jǐng shān zhuāng	華景山莊
huá jīng xīn cūn	華晶新村
huá jīng xīn cūn	華涇新村
huá kāng jiē dào	華康街道
huá kè shān zhuāng	華克山莊
huá kè shān zhuāng	華客山莊
huà kè tóu cūn	化客頭村
huà kuāng yàn zhèn	畫匡堰鎮
huá lè jiē dào	華樂街道
huā lì gōu cūn	花慄溝村
huá lǐ hé cūn	滑裏河村
huā lí kǎn cūn	花梨坎村
huā lì shān cūn	花栗山村
huá lì shān zhuāng	華利山莊
huá lì shān zhuāng	華麗山莊
huā lì shù cūn	花栗樹村
huà lǐ xiāng cūn	畫裏鄉村
huá lián shè qū	華聯社區
huá lián xīn cūn	華聯新村
huá lín jiē dào	華林街道
huá lín shān zhèn	華林山鎮
huā lín sì cūn	花林寺村
huā lín sì zhèn	花林寺鎮
huā liǔ gōu cūn	花柳溝村
huā liǔ xī cūn	花柳溪村
huá lóng jiē dào	華龍街道
huā lóng mén cūn	花龍門村
huà lóng qiáo cūn	化龍橋村
huà lóng shè qū	化龍社區
huà lóng yàn zhèn	化龍堰鎮
huā lóng zhèn cūn	花龍鎮村
huā lóu jiē dào	花樓街道
huā lóu shān cūn	花樓山村
huā lù píng cūn	花鹿坪村
huā mǎ chí zhèn	花馬池鎮
huà mǎ wān xiāng	化馬灣鄉
huā mǎ zhuāng cūn	花馬莊村
huá měi xīn cūn	華美新村
huā mén jiē dào	花門街道
huā mén lóu cūn	花門樓村
huā miào zhài cūn	花廟寨村
huā miào zi cūn	花廟子村
huā miào zuǐ cūn	花廟嘴村
huá míng jiē dào	華明街道
huā míng lóu cūn	花明樓村
huā míng lóu zhèn	花明樓鎮
huā míng quán cūn	花明泉村
huā míng shè qū	花明社區
huá míng zǒng zhàn	華明總站
huā mù jiē dào	花木街道
huā mù zhī xiāng	花木之鄉
huá níng lù zhàn	華寧路站
huā pái fāng cūn	花牌坊村
huà pí chǎng zhèn	樺皮廠鎮
huà pí chuān cūn	樺皮川村
huà pí diān cūn	樺皮甸村
huà pí tún cūn	化皮屯村
huà pí yù cūn	化皮峪村
huā píng jiē dào	花坪街道
huá píng liáng cūn	華坪梁村
huā píng zi xiāng	花瓶子鄉
huā píng zi zhèn	花瓶子鎮
huá qiáng jiē dào	華強街道
huā qiáng wān cūn	花牆灣村
huā qiáng yuàn cūn	花牆院村
huā qiáo èr cūn	花橋二村
huā qiáo hé cūn	花橋河村
huā qiáo jiē dào	花橋街道
huā qiáo jiē zhèn	花橋街鎮
huā qiáo shè qū	花橋社區
huá qiáo xīn cūn	華橋新村
huá qiáo xīn cūn	華僑新村
huā qiáo yī cūn	花橋一村
huá qiáo zhī xiāng	華僑之鄉
huá qīng shè qū	華清社區
huá quán shè qū	華泉社區
huá rén shè qū	華人社區
huà shān jiān yù	華山監獄
huā shān jiē dào	花山街道
huà shān jiē dào	華山街道
huā shān lín chǎng	花山林場
huā shān liú cūn	花山留村
huā shān tóu cūn	花山頭村
huā shān wú cūn	花山吳村
huà shāo yíng zhèn	化稍營鎮
huá shě jiē dào	華舍街道
huā shén miào cūn	花神廟村
huá shèng dùn zhàn	華盛頓站
huā shí ān cūn	花石庵村
huá shí bǎn cūn	滑石板村
huá shí dào cūn	滑石道村
huà shí gē cūn	化石戈村
huà shí gē xiāng	化石戈鄉
huà shí gē zhèn	化石戈鎮
huá shí gōu cūn	滑石溝村
huà shí gōu cūn	化石溝村
huā shí gōu cūn	花石溝村
huā shì jiē cūn	花市街村
huà shí lǐ cūn	化石里村
huā shí mǎo cūn	花石峁村
huā shí pàn cūn	花石畔村
huā shí qiáo cūn	花石橋村
huā shí xiá zhèn	花石峽鎮
huā shí yá cūn	花石崖村
huā shí yá zhèn	花石崖鎮
huà shù liáng cūn	樺樹梁村
huà shù píng cūn	樺樹坪村
huā shuǐ wān zhèn	花水灣鎮
huā sì wān cūn	花寺灣村
huá sù shè qū	華塑社區
huá tài chóu zhuāng	華泰綢莊
huá tài jiē dào	華泰街道
huā tān lín chǎng	花灘林場
huá tán shān zhèn	華壇山鎮
huā tán xīn cūn	花壇新村
huā táng gōu cūn	花塘溝村
huá táng jiē dào	華塘街道
huā tíng jiē dào	花亭街道
huā tīng kǒu cūn	花廳口村
huā tíng zi cūn	花亭子村
huá tóu chǎng cūn	鏵頭場村
huā tǔ gōu zhèn	花土溝鎮
huā wū jī cūn	花屋基村
huā wū xīn cūn	花屋新村
huá xī jiē dào	華西街道
huá xī jiē dào	驊西街道
huā xī jiē dào	花溪街道
huà xī jiē dào	畫溪街道
huā xī shān zhuāng	花溪山莊
huā xī xīn cūn	花溪新村
huá xī xīn cūn	華西新村
huá xī yī cūn	華西一村
huā xiāng jiē dào	花鄉街道
huá xiáng shān zhuāng	華翔山莊
huá xiáng xīn cūn	華翔新村
huá xīn jiē dào	華新街道
huá xīn shè qū	華新社區
huá xīn shì cūn	華鑫市村
huá xīng jiē dào	華興街道
huá xīng shè qū	華興社區
huá xīng shè qū	華星社區
huá xīng xīn cūn	華興新村
huá xuě xiǎo zhèn	滑雪小鎮
huā yán dòng cūn	花岩洞村
huā yán jiāo cūn	花岩礁村
huá yán nóng chǎng	華嚴農場
huā yán píng cūn	花巖坪村
huá yán shè qū	華嚴社區
huá yán sì cūn	華嚴寺村
huá yán sì cūn	華岩寺村
huā yán sì cūn	花巖寺村
huā yán xī zhèn	花岩溪鎮
huá yáng gōu cūn	華陽溝村
huá yáng gǔ zhèn	華陽古鎮
huá yáng jiē cūn	華陽街村
huá yáng jiē dào	華陽街道
huá yáng qiáo zhèn	華陽橋鎮
huá yáng shān zhuāng	華陽山莊
huá yáng shè qū	華陽社區
huá yáng xīn cūn	華陽新村
huà yí zhuāng cūn	化沂莊村
huá yíng shān zhèn	華鎣山鎮
huà yíng zi cūn	化營子村
huā yú gōu cūn	花漁溝村
huà yù gōu cūn	化育溝村
huā yuán bā cūn	花園八村
huā yuán bāng cūn	花園浜村
huā yuán gǎng cūn	花園港村
huā yuán gǎng cūn	花園崗村
huā yuán gōu cūn	花園溝村
huá yuàn jiē dào	華苑街道
huā yuán jiē dào	花源街道
huā yuán jiē dào	花園街道
huā yuán jiǔ cūn	花園九村
huā yuán kǒu cūn	花園口村
huā yuán kǒu zhèn	花園口鎮
huā yuán lǐ cūn	花園裡村
huā yuán lǐ xiāng	花園裡鄉
huā yuán lù zhàn	花園路站
huā yuàn qiáng cūn	花院牆村
huā yuán shè qū	花園社區
huā yuàn shè qū	花苑社區
huā yuán tái cūn	花園臺村
huā yuán tóu cūn	花園頭村
huā yuán tóu cūn	花源頭村
huā yuán tún zhèn	花園屯鎮
huā yuán wān cūn	花園灣村
huā yuàn xīn cūn	花苑新村
huá yuàn xīn cūn	華苑新村
huā yuán xīn cūn	花園新村
huá yuàn yī cūn	華苑一村
huā yuán zhōu cūn	花園洲村
huā yuán zhuāng cūn	花園莊村
huá yún shè qū	華雲社區
huà zhāng bǎo cūn	化章堡村
huā zhāng méng cūn	花張蒙村
huá zhàng zi cūn	華杖子村
huá zhōng jiē dào	驊中街道
huá zhōu jiē dào	華洲街道
huá zhōu jiē dào	華州街道
huā zhōu jiē dào	花洲街道
huá zhuāng jiē dào	華莊街道
huā zhuāng zǐ cūn	花莊子村
huá zhuāng zǐ cūn	滑莊子村
huà zǐ píng cūn	化子坪村
huà zǐ píng zhèn	化子坪鎮
huá zuǐ píng cūn	鏵嘴坪村
huái ān běi zhàn	淮安北站
huái ān chéng zhèn	懷安城鎮
huái ān hóng zé	淮安洪澤
huái ān huái ān	淮安淮安
huái ān huái yīn	淮安淮陰
huái ān jīn hú	淮安金湖
huái ān lián shuǐ	淮安漣水
huái ān xū yí	淮安盱眙
huái bǎi jiē cūn	槐柏街村
huái bào wō cūn	懷抱窩村
huái bào yú cūn	槐抱榆村
huái běi dù jí	淮北杜集
huái běi liè shān	淮北烈山
huái běi suī xī	淮北濉溪
huái běi xiāng shān	淮北相山
huái běi zhuāng cūn	懷北莊村
huái bīn jiē dào	淮濱街道
huái bo jiǎn cūn	槐卜礆村
huái chéng jiē dào	淮城街道
huái chéng jiē dào	懷城街道
huái chuān jiē dào	淮川街道
huái dé shè qū	懷德社區
huái dé xīn cūn	懷德新村
huái dǐ jiē dào	槐底街道
huái fáng shè qū	槐房社區
huái gōu hé cūn	槐溝河村
huái gǔ yī cūn	槐古一村
huái hǎi jiē dào	淮海街道
huái hǎi nóng chǎng	淮海農場
huái hǎi yì zhuāng	懷海義莊
huái hé gōu cūn	淮河溝村
huái hé jiē dào	淮河街道
huái hé lù zhàn	淮河路站
huái huà chén xī	懷化辰溪
huái huà hè chéng	懷化鶴城
huái huà hóng jiāng	懷化洪江
huái huà huì tóng	懷化會同
huái huà jí tuán	淮化集團
huái huà jìng zhōu	懷化靖州
huái huà má yáng	懷化麻陽
huái huà nán zhàn	懷化南站
huái huà tōng dào	懷化通道
huái huà xīn huǎng	懷化新晃
huái huà xù pǔ	懷化漵浦
huái huà yuán líng	懷化沅陵
huái huà zhǐ jiāng	懷化芷江
huái huà zhōng fāng	懷化中方
huái jiàn èr cūn	淮建二村
huái kǒu jiē dào	淮口街道
huái lǐ píng cūn	槐里坪村
huái nán dà tōng	淮南大通
huái nán fèng tái	淮南鳳台
huái nán pān jí	淮南潘集
huái nán shòu xiàn	淮南壽縣
huái níng wān cūn	淮寧灣村
huái níng wān xiāng	淮寧灣鄉
huái níng wān zhèn	淮寧灣鎮
huái qìng jiē dào	懷慶街道
huái rén jiē dào	懷仁街道
huái róu běi zhàn	懷柔北站
huái róu dì qū	懷柔地區
huái shù chà cūn	槐樹岔村
huái shù chà xiāng	槐樹岔鄉
huái shù chí cūn	槐樹池村
huái shù dǐ cūn	槐樹底村
huái shù diàn cūn	槐樹店村
huái shù diàn zhàn	槐樹店站
huái shù gǎng cūn	槐樹港村
huái shù gōu cūn	槐樹溝村
huái shù guān cūn	槐樹關村
huái shù guān zhèn	槐樹關鎮
huái shù jiē cūn	槐樹街村
huái shù mǎo cūn	槐樹峁村
huái shù pō cūn	槐樹坡村
huái shù pù cūn	槐樹鋪村
huái shù wān cūn	槐樹灣村
huái shù wān xiāng	槐樹灣鄉
huái shù yàn cūn	槐樹墕村
huái shù yuán cūn	槐樹塬村
huái shù zhuāng cūn	槐樹莊村
huái xī pō cūn	槐西坡村
huái xīn jiē dào	槐新街道
huái yuǎn jiē dào	懷遠街道
huái zhàng zi cūn	懷杖子村
huái zhēn fāng cūn	懷珍坊村
huán běi jiē dào	洹北街道
huán běi jiē dào	環北街道
huán běi yī cūn	環北一村
huán běn nóng chǎng	環本農場
huán chéng jiē dào	環城街道
huán chéng shè qū	環城社區
huán chéng xīn cūn	環城新村
huán cuì jiē dào	環翠街道
huán dān shān cūn	環擔山村
huàn dōng jiē dào	浣東街道
huán dōng shè qū	環東社區
huàn gé shān zhuāng	浣葛山莊
huán hú xiǎo zhèn	環湖小鎮
huán jiā hé cūn	郇家河村
huán jiā yàn cūn	郇家墕村
huàn jiā yù cūn	宦家峪村
huán jìng zǒng zhàn	環境總站
huān lè chéng bǎo	歡樂城堡
huān lè nóng zhuāng	歡樂農莊
huān lè xiǎo zhèn	歡樂小鎮
huán lǐng jiē dào	環嶺街道
huàn mǎ diàn zhèn	換馬店鎮
huán nán jiē dào	環南街道
huán nán shè qū	環南社區
huán nán xīn cūn	環南新村
huán nán yī cūn	環南一村
huán qīng shè qū	環清社區
huán qiú yì zhàn	環球驛站
huán shì jiē dào	環市街道
huán xī shè qū	環西社區
huán xī xīn cūn	環西新村
huān xǐ zhuāng cūn	歡喜莊村
huān xǐ zhuāng xiāng	歡喜莊鄉
huān xīn nóng zhuāng	歡心農莊
huán xīn shān zhuāng	環馨山莊
huán xiù jiē dào	環秀街道
huán xiù shān zhuāng	環秀山莊
huàn yǐng chéng bǎo	幻影城堡
huán yǔ shè qū	環宇社區
huán zhǔ jiē dào	環渚街道
huán zhū lì cūn	還珠瀝村
huān zǐ dòng cūn	獾子洞村
huàn zǐ kǒu cūn	宦子口村
huáng ān tuó cūn	黃安坨村
huáng bà yì cūn	黃壩驛村
huáng bà yì xiāng	黃壩驛鄉
huáng bǎn qiáo cūn	黃板橋村
huáng bān zhuāng cūn	黃班莊村
huáng bǎng lǐng cūn	黃榜嶺村
huáng bèi jiē dào	黃貝街道
huáng bèi lǐng cūn	黃貝嶺村
huáng běi lǐng cūn	黃北嶺村
huáng běi píng xiāng	黃北坪鄉
huáng bì ào cūn	黃避岙村
huáng bì ào xiāng	黃避岙鄉
huáng bì zhuāng zhèn	黃壁莊鎮
huáng bò chà cūn	黃柏岔村
huáng bò gōu cūn	黃柏溝村
huáng bò shān cūn	黃柏山村
huáng bò shù cūn	黃柏樹村
huáng bò sì cūn	黃柏寺村
huáng bò yù cūn	黃柏峪村
huáng bò yuán cūn	黃柏塬村
huáng bò yuán xiāng	黃柏塬鄉
huáng bò yuán zhèn	黃柏塬鎮
huáng bù lǐng cūn	黃埠嶺村
huáng bù yá cūn	黃埠崖村
huáng cài yuán cūn	黃菜園村
huáng cǎo bà cūn	黃草壩村
huáng cǎo jiē dào	黃草街道
huáng cǎo liáng cūn	黃草梁村
huáng cǎo lǐng cūn	黃草嶺村
huáng cǎo lǐng xiāng	黃草嶺鄉
huáng cǎo píng cūn	黃草坪村
huáng cǎo pō cūn	黃草坡村
huáng cǎo wā cūn	黃草窪村
huáng cǎo wān cūn	黃草灣村
huáng cǎo yàn cūn	黃草墕村
huáng cǎo yíng cūn	黃草營村
huáng chǎng pù cūn	黃廠鋪村
huáng chéng jí cūn	黃城集村
huáng chéng jiē dào	皇城街道
huáng chéng lǐ cūn	黃城裡村
huáng chéng shān cūn	黃城山村
huáng chéng yáng cūn	黃城陽村
huáng chóng tǎ cūn	黃蟲塔村
huáng cí liáng cūn	黃茨梁村
huáng cūn dì qū	黃村地區
huáng cūn gōu cūn	黃村溝村
huáng cūn jiē dào	黃村街道
huáng dà xiān qū	黃大仙區
huáng dà xiān zhàn	黃大仙站
huáng dà zhuāng cūn	黃大莊村
huáng dài wān cūn	黃岱灣村
huáng dào gōu cūn	黃道溝村
huáng dǎo jiē dào	黃島街道
huáng dào kǒu cūn	黃道口村
huáng dì miào xiāng	皇帝廟鄉
huáng dì pù xiāng	黃遞鋪鄉
huáng dì tái cūn	黃地臺村
huáng diàn gǎng cūn	皇殿崗村
huáng diàn xīn cūn	黃電新村
huáng diàn zhuāng cūn	黃澱莊村
huāng diàn zhuāng zhèn	荒佃莊鎮
huáng dòng chōng cūn	黃洞衝村
huáng dōng yí cūn	黃東儀村
huáng duī jí xiāng	黃堆集鄉
huáng dūn jiē dào	黃墩街道
huáng duó bǎo cūn	黃鐸堡村
huáng duó bǎo zhèn	黃鐸堡鎮
huáng fēng qiáo zhèn	黃豐橋鎮
huáng fèng shān cūn	黃鳳山村
huáng fǔ jiē dào	皇甫街道
huáng fǔ zhuāng zhèn	皇甫莊鎮
huáng gài hú zhèn	黃蓋湖鎮
huáng gài nào zhèn	黃蓋淖鎮
huáng gāng hóng ān	黃岡紅安
huáng gāng huáng méi	黃岡黃梅
huáng gāng huáng zhōu	黃岡黃州
huáng gāng luó tián	黃岡羅田
huáng gāng má chéng	黃岡麻城
huáng gǎng miào cūn	黃崗廟村
huáng gāng miào cūn	黃岡廟村
