zì jǐ dǎ de	自己打的
zhèi tào shū	这套书
zhèi tǐ gé	这体格
zhèi tí mù	这题目
zhèi tí xuǎn	这题选
zhèi tiān qì	这天气
zhèi tiān sè	这天色
zhèi tiān xià	这天下
zhèi tiáo chóng	这条虫
zhèi tiáo chuán	这条船
zhèi tiáo gǒu	这条狗
zhèi tiáo hé	这条河
zhèi tiáo jiàn	这条件
zhèi tiáo jiē	这条街
zhèi tiáo lóng	这条龙
zhèi tiáo lù	这条路
zhèi tiáo mìng	这条命
zhèi tiáo xiàn	这条线
zhèi tǐng hǎo	这挺好
zhèi tóu zhū	这头猪
zhèi tuī lǐ	这推理
zhèi wá wa	这娃娃
zhèi wǎn fàn	这碗饭
zhèi wǎn jiǔ	这碗酒
zhèi wán quán	这完全
zhèi wàn shì	这万是
zhèi wán wán	这玩玩
zhèi wán yì	这玩意
zhèi wàn yī	这万一
zhèi wán yīng	这玩应
zhèi wǎn zhōu	这碗粥
zhèi wǎng luò	这网络
zhèi wǎng sù	这网速
zhèi wèi bì	这未必
zhèi wèi kǒu	这胃口
zhèi wèi lǎo	这位老
zhèi wèi shì	这位是
zhèi wèi yào	这味药
zhèi wèi yé	这位爷
zhèi wèn tí	这问题
zhèi wǒ jiù	这我就
zhèi wǔ gè	这五个
zhèi wǔ jiā	这五家
zhèi wǔ nián	这五年
zhèi wǔ rén	这五人
zhèi wú yí	这无疑
zhèi wǔ zhǒng	这五种
zhèi xí guàn	这习惯
zhèi xǐ huān	这喜欢
zhèi xì liè	这系列
zhèi xì tǒng	这系统
zhèi xià kàn	这下看
zhèi xià miàn	这下面
zhèi xià qù	这下去
zhèi xià zǐ	这下子
zhèi xiān shēng	这先生
zhèi xiǎo gē	这小哥
zhèi xiǎo hái	这小孩
zhèi xiǎo huǒ	这小伙
zhèi xiāo sǎ	这潇洒
zhèi xiǎo yàng	这小样
zhèi xiǎo zi	这小子
zhèi xiē biǎo	这些表
zhèi xiē chǎng	这些厂
zhèi xiē chǎng	这些场
zhèi xiē chē	这些车
zhèi xiē cí	这些词
zhèi xiē diǎn	这些点
zhèi xiē dōu	这些都
zhèi xiē duì	这些队
zhèi xiē gè	这些个
zhèi xiē gē	这些歌
zhèi xiē gǒu	这些狗
zhèi xiē gǔ	这些股
zhèi xiē hā	这些哈
zhèi xiē hǎo	这些好
zhèi xiē huà	这些话
zhèi xiē huò	这些货
zhèi xiē kè	这些课
zhèi xiē liào	这些料
zhèi xiē ma	这些吗
zhèi xiē nián	这些年
zhèi xiē piào	这些票
zhèi xiē qián	这些钱
zhèi xiē qún	这些群
zhèi xiē rén	这些人
zhèi xiē shì	这些是
zhèi xiē shì	这些事
zhèi xiē shí	这些时
zhèi xiē shū	这些书
zhèi xiē shù	这些数
zhèi xiē tiān	这些天
zhèi xiē wá	这些娃
zhèi xiē xiàng	这些项
zhèi xiē zì	这些字
zhèi xié zi	这鞋子
zhèi xiē zǐ	这些子
zhèi xīn kǔ	这辛苦
zhèi xīn qíng	这心情
zhèi xīn sī	这心思
zhèi xīn tài	这心态
zhèi xíng hào	这型号
zhèi xīng qī	这星期
zhèi xíng shì	这形势
zhèi xiōng dì	这兄弟
zhèi xióng yàng	这熊样
zhèi xū yào	这需要
zhèi xué qī	这学期
zhèi xué xiào	这学校
zhèi yā tou	这丫头
zhèi yán sè	这颜色
zhèi yán yǔ	这言语
zhèi yán zhí	这颜值
zhèi yán zhòng	这严重
zhèi yàng a	这样啊
zhèi yàng ài	这样爱
zhèi yàng ba	这样吧
zhèi yàng bàn	这样办
zhèi yàng cái	这样才
zhèi yàng chuān	这样穿
zhèi yàng dǎ	这样打
zhèi yàng dá	这样哒
zhèi yàng de	这样的
zhèi yàng dī	这样滴
zhèi yàng dì	这样地
zhèi yàng duì	这样对
zhèi yàng é	这样额
zhèi yàng gàn	这样干
zhèi yàng gǎo	这样搞
zhèi yàng guài	这样怪
zhèi yàng hé	这样和
zhèi yàng hé	这样合
zhèi yàng hěn	这样很
zhèi yàng huì	这样会
zhèi yàng jiào	这样叫
zhèi yàng jiù	这样就
zhèi yàng kēng	这样坑
zhèi yàng kuài	这样快
zhèi yàng la	这样啦
zhèi yàng lái	这样来
zhèi yàng lèi	这样类
zhèi yàng liáo	这样聊
zhèi yàng ma	这样吗
zhèi yàng ma	这样嘛
zhèi yàng néng	这样能
zhèi yàng ó	这样哦
zhèi yàng ō	这样噢
zhèi yàng ō	这样喔
zhèi yàng pà	这样怕
zhèi yàng pái	这样排
zhèi yàng sā	这样撒
zhèi yàng sān	这样三
zhèi yàng shì	这样事
zhèi yàng shuō	这样说
zhèi yàng suàn	这样算
zhèi yàng suǒ	这样所
zhèi yàng tiān	这样天
zhèi yàng tián	这样填
zhèi yàng wán	这样玩
zhèi yàng wǎn	这样晚
zhèi yàng wèn	这样问
zhèi yàng wǒ	这样我
zhèi yàng xiǎng	这样想
zhèi yàng xiě	这样写
zhèi yàng xué	这样学
zhèi yàng ya	这样呀
zhèi yàng yě	这样也
zhèi yàng yé	这样耶
zhèi yàng yǒu	这样有
zhèi yàng zài	这样在
zhèi yàng zhuāng	这样装
zhèi yàng zi	这样子
zhèi yàng zǐ	这样紫
zhèi yàng zǒu	这样走
zhèi yàng zuò	这样做
zhèi yào kàn	这要看
zhèi yāo qiú	这要求
zhèi yě bù	这也不
zhèi yě chéng	这也成
zhèi yě dài	这也带
zhèi yě de	这也得
zhèi yě gēn	这也跟
zhèi yě jiào	这也叫
zhèi yě jiù	这也就
zhèi yè miàn	这页面
zhèi yě néng	这也能
zhèi yě ràng	这也让
zhèi yě shì	这也是
zhèi yě suàn	这也算
zhèi yě tài	这也太
zhèi yě tè	这也忒
zhèi yě xíng	这也行
zhèi yě xǔ	这也许
zhèi yě yào	这也要
zhèi yì bǎ	这一把
zhèi yí bài	这一拜
zhèi yì bǎn	这一版
zhèi yì bān	这一般
zhèi yí bàn	这一半
zhèi yí bèi	这一辈
zhèi yì bēi	这一杯
zhèi yì běn	这一本
zhèi yì bǐ	这一笔
zhèi yì biān	这一边
zhèi yì bié	这一别
zhèi yì bō	这一波
zhèi yí bù	这一步
zhèi yì bù	这一部
zhèi yì céng	这一层
zhèi yì chá	这一茬
zhèi yì chǎng	这一场
zhèi yì chū	这一出
zhèi yí chù	这一处
zhèi yí chuàn	这一串
zhèi yí cì	这一次
zhèi yí dài	这一代
zhèi yí dài	这一带
zhèi yì dāo	这一刀
zhèi yì diǎn	这一点
zhèi yí dìng	这一定
zhèi yí dòng	这一栋
zhèi yí dòng	这一动
zhèi yí duàn	这一段
zhèi yí duì	这一对
zhèi yì duī	这一堆
zhèi yí fā	这一发
zhèi yì fān	这一番
zhèi yì fāng	这一方
zhèi yí fèn	这一份
zhèi yì fēn	这一分
zhèi yī fú	这衣服
zhèi yì gǎo	这一搞
zhèi yì gǎo	这一稿
zhèi yí gè	这一个
zhèi yí guà	这一挂
zhèi yì guān	这一关
zhèi yí guì	这一跪
zhèi yì guō	这一锅
zhèi yì háng	这一行
zhèi yí hào	这一号
zhèi yǐ hòu	这以后
zhèi yì huán	这一环
zhèi yì huí	这一回
zhèi yì jì	这一季
zhèi yì jí	这一集
zhèi yì jí	这一级
zhèi yí jiàn	这一件
zhèi yí jiàn	这一剑
zhèi yí jiè	这一届
zhèi yì jié	这一节
zhèi yì jié	这一劫
zhèi yì jié	这一截
zhèi yǐ jīng	这已经
zhèi yí jù	这一句
zhèi yì jú	这一局
zhèi yí kàn	这一看
zhèi yí kè	这一刻
zhèi yí kè	这一课
zhèi yì kē	这一颗
zhèi yí kuài	这一块
zhèi yì kuǎn	这一款
zhèi yí lái	这一来
zhèi yí lèi	这一类
zhèi yí lù	这一路
zhèi yì lún	这一轮
zhèi yì miàn	这一面
zhèi yì miǎo	这一秒
zhèi yí mù	这一幕
zhèi yì nián	这一年
zhèi yí nòng	这一弄
zhèi yì pái	这一排
zhèi yì pī	这一批
zhèi yí piàn	这一片
zhèi yì piān	这一篇
zhèi yí piào	这一票
zhèi yì píng	这一瓶
zhèi yì qī	这一期
zhèi yí qiè	这一切
zhèi yí qù	这一去
zhèi yì qǔ	这一曲
zhèi yí rì	这一日
zhèi yì shēn	这一身
zhèi yì shēng	这一生
zhèi yǐ shì	这已是
zhèi yí shì	这一世
zhèi yí shì	这一事
zhèi yì shǒu	这一首
zhèi yì shǒu	这一手
zhèi yì sī	这意思
zhèi yì tái	这一台
zhèi yí tàng	这一趟
zhèi yí tào	这一套
zhèi yì tiān	这一天
zhèi yí tiào	这一跳
zhèi yí tòng	这一通
zhèi yì tóu	这一头
zhèi yì wǎn	这一碗
zhèi yì wǎn	这一晚
zhèi yì wǎng	这一网
zhèi yì wèi	这意味
zhèi yí wèi	这一位
zhèi yì wěn	这一吻
zhèi yì wō	这一窝
zhèi yí wù	这一物
zhèi yí xià	这一下
zhèi yí xiàng	这一项
zhèi yí xiàng	这一向
zhèi yì xiē	这一些
zhèi yí yè	这一夜
zhèi yì yè	这一页
zhèi yí zhàn	这一战
zhèi yí zhàn	这一站
zhèi yì zhāng	这一张
zhèi yì zhāng	这一章
zhèi yí zhàng	这一仗
zhèi yì zhǎng	这一掌
zhèi yì zhāo	这一招
zhèi yí zhèn	这一阵
zhèi yí zhēn	这一帧
zhèi yì zhī	这一支
zhèi yì zhī	这一只
zhèi yì zhǒng	这一种
zhèi yì zhōu	这一周
zhèi yì zhū	这一株
zhèi yí zhuǎn	这一转
zhèi yì zì	这一字
zhèi yì zōng	这一宗
zhèi yí zuò	这一座
zhèi yīng gāi	这应该
zhèi yòu bù	这又不
zhèi yǒu gè	这有个
zhèi yòu méi	这又没
zhèi yǒu qián	这有钱
zhèi yǒu shá	这有啥
zhèi yòu shì	这又是
zhèi yóu xì	这游戏
zhèi yōu xián	这悠闲
zhèi yǔ qì	这语气
zhèi zǎ hái	这咋还
zhèi zài nǎ	这在哪
zhèi zhā nán	这渣男
zhèi zhāng chē	这张车
zhèi zhāng chuáng	这张床
zhèi zhāng dān	这张单
zhèi zhāng de	这张的
zhèi zhāng hǎo	这张好
zhèi zhāng liǎn	这张脸
zhèi zhāng pái	这张牌
zhèi zhāng tú	这张图
zhe zhèi zuò	着这座
zhèi zhèn róng	这阵容
zhèi zhēn shì	这真是
zhèi zhèn zi	这阵子
zhèi zhèng rú	这正如
zhèi zhèng shì	这正是
zhèi zhī jiān	这之间
zhèi zhī lèi	这之类
zhèi zhǐ māo	这只猫
zhèi zhǐ néng	这只能
zhèi zhǐ niǎo	这只鸟
zhèi zhǐ piào	这只票
zhèi zhī qián	这之前
zhèi zhì shāng	这智商
zhèi zhǐ shì	这只是
zhèi zhǐ yào	这只要
zhèi zhǐ yīng	这只鹰
zhèi zhǐ zhū	这只猪
zhèi zhǒng a	这种啊
zhèi zhǒng ài	这种爱
zhèi zhǒng biǎo	这种表
zhèi zhǒng bìng	这种病
zhèi zhǒng chē	这种车
zhèi zhǒng chóng	这种虫
zhèi zhǒng chuán	这种船
zhèi zhǒng cí	这种词
zhèi zhǒng dān	这种单
zhèi zhǒng de	这种的
zhèi zhòng dì	这种地
zhèi zhǒng diàn	这种店
zhèi zhǒng diǎn	这种点
zhèi zhǒng duō	这种多
zhèi zhǒng fáng	这种房
zhèi zhǒng gāi	这种该
zhèi zhǒng gěi	这种给
zhèi zhǒng gěng	这种梗
zhèi zhǒng huà	这种话
zhèi zhòng huā	这种花
zhèi zhōng jiān	这中间
zhèi zhǒng jiǎng	这种讲
zhèi zhǒng kè	这种课
zhèi zhǒng la	这种啦
zhèi zhǒng ma	这种嘛
zhèi zhǒng māo	这种猫
zhèi zhǒng měi	这种美
zhèi zhǒng ne	这种呢
zhèi zhǒng qiāng	这种枪
zhèi zhǒng rén	这种人
zhèi zhǒng shì	这种事
zhèi zhǒng xié	这种鞋
zhèi zhǒng yào	这种药
zhèi zhōu èr	这周二
zhèi zhōu hái	这周还
zhèi zhōu liù	这周六
zhèi zhōu mò	这周末
zhèi zhōu nà	这周内
zhèi zhōu rì	这周日
zhèi zhōu sān	这周三
zhèi zhōu sì	这周四
zhèi zhōu tiān	这周天
zhèi zhōu wǔ	这周五
zhèi zhǔ bō	这主播
zhèi zhǔ yì	这主意
zhèi zhuān yè	这专业
zhèi zhuàng lóu	这幢楼
zhèi zī shì	这姿势
zhèi zī wèi	这滋味
zhèi zuì hòu	这最后
zhèi zuì zhōng	这最终
zhèi zuò chéng	这座城
zhèi zuò dǎo	这座岛
zhèi zuò zhě	这作者
zhēn zhèi yàng	真这样
zhěng zhèi xiē	整这些
zhuāng zhèi zhǒng	装这种
zǒng zhèi yàng	总这样
zǒu zhèi biān	走这边
zǒu zhèi ge	走这个
zuò zhèi ge	做这个
zuò zhèi shì	做这事
zuò zhèi xiē	做这些
zuò zhèi zhǒng	做这种
ān shóu	谙熟
bàn shóu	半熟
bǎo shóu	保熟
bèi shóu	背熟
biàn shóu	变熟
bù shóu	不熟
cháng shóu	常熟
chǎo shóu	炒熟
chéng shóu	成熟
chū shóu	初熟
chún shóu	纯熟
chún shóu	醇熟
cuī shóu	催熟
dà shóu	大熟
dàn shóu	蛋熟
dú shóu	读熟
dùn shóu	炖熟
ěr shóu	耳熟
fǔ shóu	腐熟
gāng shóu	刚熟
gǎo shóu	搞熟
guā shóu	瓜熟
guò shóu	过熟
guǒ shóu	果熟
hěn shóu	很熟
hú shóu	湖熟
hùn shóu	混熟
jì shóu	记熟
jí shóu	即熟
jiào shóu	较熟
jīng shóu	精熟
kǎo shóu	烤熟
kuài shóu	快熟
làn shóu	烂熟
lǎo shóu	老熟
liǎn shóu	脸熟
liàn shóu	练熟
liǎng shóu	两熟
mán shóu	蛮熟
méi shóu	没熟
miàn shóu	面熟
mō shóu	摸熟
qīng shóu	轻熟
quán shóu	全熟
rěn shóu	稔熟
ruǎn shóu	软熟
shā shóu	杀熟
shāo shóu	烧熟
shēng shóu	生熟
shǒu shóu	手熟
shóu a	熟啊
shóu ān	熟谙
shóu bèi	熟背
shóu cài	熟菜
shóu chá	熟茶
shóu chéng	熟成
shóu cí	熟词
shóu de	熟的
shóu de	熟得
shóu dì	熟地
shóu diǎn	熟点
shóu dú	熟读
shóu dù	熟度
shóu fàn	熟饭
shóu guǒ	熟果
shóu hòu	熟后
shóu huà	熟化
shóu jì	熟记
shóu jīn	熟筋
shóu kè	熟客
shóu làn	熟烂
shóu le	熟了
shóu liàn	熟练
shóu liǎn	熟脸
shóu liào	熟料
shóu lù	熟路
shóu luò	熟络
shóu lǜ	熟虑
shóu nǚ	熟女
shóu pí	熟皮
shóu pǔ	熟普
shóu rén	熟人
shóu rěn	熟稔
shóu ròu	熟肉
shóu shí	熟食
shóu shí	熟识
shóu shí	熟时
shóu shǒu	熟手
shóu shuǐ	熟水
shóu tiě	熟铁
shóu tòu	熟透
shóu xī	熟悉
shóu xí	熟习
shóu xiā	熟虾
shóu yòng	熟用
shóu yóu	熟油
shóu yǔ	熟语
shóu zhī	熟知
shóu zhì	熟制
shuì shóu	睡熟
tài shóu	太熟
tǐng shóu	挺熟
wǎn shóu	晚熟
wán shóu	玩熟
wán shóu	完熟
wèi shóu	未熟
wǒ shóu	我熟
xián shóu	娴熟
xiāng shóu	相熟
yǎn shóu	眼熟
yì shóu	一熟
yòng shóu	用熟
yuán shóu	圆熟
zài shóu	再熟
zǎo shóu	早熟
zhà shóu	炸熟
zhēng shóu	蒸熟
zhì shóu	至熟
zhǔ shóu	煮熟
zuì shóu	最熟
bā chéng shóu	八成熟
bā fēn shóu	八分熟
bǎ shóu shuì	把熟睡
bǎ zhēng shóu	把蒸熟
bǎ zhǔ shóu	把煮熟
bàn chéng shóu	半成熟
bàn chéng shóu	扮成熟
bàn shēng shóu	半生熟
bàn shóu dàn	半熟蛋
bàn shóu de	半熟的
bàn shóu liàn	半熟练
bàn shóu rén	半熟人
bàn shóu shí	半熟时
bèi cuī shóu	被催熟
bèi kǎo shóu	被烤熟
bèi shóu le	背熟了
bèi zhǔ shóu	被煮熟
bǐ jiào shóu	比较熟
biàn chéng shóu	变成熟
bìng bù shóu	并不熟
bù chéng shóu	不成熟
bù cuī shóu	不催熟
bù shóu a	不熟啊
bù shóu ba	不熟吧
bù shóu liàn	不熟练
bù shóu xī	不熟悉
bú tài shóu	不太熟
bù xián shóu	不娴熟
bù yǎn shóu	不眼熟
cài shóu le	菜熟了
cháng shóu de	常熟的
cháng shóu huà	常熟话
cháng shóu lù	常熟路
cháng shóu rén	常熟人
cháng shóu shì	常熟市
cháng shóu xiàn	常熟县
cháng shóu yǒu	常熟有
cháng shóu zhàn	常熟站
chǎo bù shóu	炒不熟
chǎo shóu hòu	炒熟后
chǎo shóu le	炒熟了
chéng shóu a	成熟啊
chéng shóu ba	成熟吧
chéng shóu de	成熟的
chéng shóu diǎn	成熟点
chéng shóu dù	成熟度
chéng shóu fàn	成熟范
chéng shóu fēng	成熟风
chéng shóu gǎn	成熟感
chéng shóu hǎo	成熟好
chéng shóu hěn	成熟很
chéng shóu hòu	成熟后
chéng shóu huà	成熟化
chéng shóu jì	成熟季
chéng shóu le	成熟了
chéng shóu liǎn	成熟脸
chéng shóu lín	成熟林
chéng shóu měi	成熟美
chéng shóu mì	成熟蜜
chéng shóu nán	成熟男
chéng shóu nǚ	成熟女
chéng shóu qí	成熟期
chéng shóu qián	成熟前
chéng shóu qū	成熟区
chéng shóu rén	成熟人
chéng shóu rǔ	成熟乳
chéng shóu shí	成熟时
chéng shóu tǐ	成熟体
chéng shóu xiē	成熟些
chéng shóu xìng	成熟性
chéng shóu xíng	成熟型
chéng shóu zǎo	成熟早
chéng shóu zhōng	成熟中
chī shóu shí	吃熟食
chū shóu de	初熟的
cóng shóu shuì	从熟睡
cóng shóu xī	从熟悉
cuī shóu jì	催熟剂
dà jiā shóu	大家熟
dào cháng shóu	到常熟
de shóu le	的熟了
děng shóu le	等熟了
dì bù shóu	地不熟
dōng jīng shóu	东京熟
dōu bù shóu	都不熟
dōu chéng shóu	都成熟
dōu shóu le	都熟了
dōu shóu xī	都熟悉
dōu zǎo shóu	都早熟
duō shóu le	多熟了
duō shóu qī	多熟期
duō shóu xī	多熟悉
èr huí shóu	二回熟
ěr shóu a	耳熟啊
ěr shóu ba	耳熟吧
ěr shóu le	耳熟了
fēi cháng shóu	非常熟
fēn shóu ba	分熟吧
fēn shóu le	分熟了
gàn shóu me	干熟么
gǎo shóu le	搞熟了
gèng chéng shóu	更成熟
gèng shóu liàn	更熟练
gèng shóu xī	更熟悉
gòu chéng shóu	够成熟
guò shóu de	过熟的
guò shóu le	过熟了
guǒ shóu qī	果熟期
guò shóu qī	过熟期
hái bù shóu	还不熟
hái suàn shóu	还算熟
hǎo chéng shóu	好成熟
hǎo ěr shóu	好耳熟
hǎo miàn shóu	好面熟
hǎo shóu xī	好熟悉
hǎo yǎn shóu	好眼熟
hěn chéng shóu	很成熟
hěn chún shóu	很纯熟
hěn ěr shóu	很耳熟
hěn miàn shóu	很面熟
hěn shóu a	很熟啊
hěn shóu ba	很熟吧
hěn shóu dàn	很熟但
hěn shóu hěn	很熟很
hěn shóu le	很熟了
hěn shóu liàn	很熟练
hěn shóu luò	很熟络
hěn shóu rěn	很熟稔
hěn shóu shí	很熟识
hěn shóu xī	很熟悉
hěn xián shóu	很娴熟
hěn yǎn shóu	很眼熟
hěn zǎo shóu	很早熟
hòu shóu qī	后熟期
huí cháng shóu	回常熟
huì shóu liàn	会熟练
hùn liǎn shóu	混脸熟
hùn shóu ba	混熟吧
hùn shóu le	混熟了
hùn yǎn shóu	混眼熟
jǐ chéng shóu	几成熟
jǐ fēn shóu	几分熟
jì shóu le	记熟了
jiāng shóu shí	将熟时
jiāng shóu shuì	将熟睡
jiāng zhēng shóu	将蒸熟
jiāng zhǔ shóu	将煮熟
jiào chéng shóu	较成熟
jiǔ chéng shóu	九成熟
jiǔ fēn shóu	九分熟
jiù shóu le	就熟了
jiù shóu shí	就熟时
jiù shóu xī	就熟悉
kàn shóu le	看熟了
kǎo shóu hòu	烤熟后
kǎo shóu le	烤熟了
kě chéng shóu	可成熟
kě shóu le	可熟了
kě shóu xī	可熟悉
kuài shóu le	快熟了
kuài shóu miàn	快熟面
kuài shóu shí	快熟时
lái cháng shóu	来常熟
lái shóu le	来熟了
làn shóu shí	烂熟时
lǎo shóu kè	老熟客
lǎo shóu rén	老熟人
liǎn shóu ba	脸熟吧
liǎn shóu le	脸熟了
liàn shóu le	练熟了
liǎng cì shóu	两次熟
liù fēn shóu	六分熟
lù bù shóu	路不熟
mài shóu shí	卖熟食
méi chǎo shóu	没炒熟
méi chéng shóu	没成熟
méi kǎo shóu	没烤熟
méi shāo shóu	没烧熟
méi shóu ba	没熟吧
méi shóu jiù	没熟就
měi shóu nǚ	美熟女
méi shóu rén	没熟人
méi shóu sì	没熟似
méi shóu tòu	没熟透
méi yǒu shóu	没有熟
méi zhēng shóu	没蒸熟
méi zhǔ shóu	没煮熟
miàn shóu ba	面熟吧
mō shóu le	摸熟了
néng chéng shóu	能成熟
néng shóu liàn	能熟练
nǐ bù shóu	你不熟
nǐ chéng shóu	你成熟
nǐ hěn shóu	你很熟
nǐ shóu liàn	你熟练
nǐ shóu rén	你熟人
nǐ shóu shuì	你熟睡
nǐ shóu xī	你熟悉
nǐ shóu zhī	你熟知
nǐ yǎn shóu	你眼熟
nǐ zuì shóu	你最熟
nín shóu xī	您熟悉
nòng shóu le	弄熟了
piān chéng shóu	偏成熟
qī chéng shóu	七成熟
qī fēn shóu	七分熟
qíng kuàng shóu	情况熟
qīng shóu fēng	轻熟风
qīng shóu gǎn	轻熟感
qīng shóu líng	轻熟龄
qīng shóu nán	轻熟男
qīng shóu nǚ	轻熟女
qù cháng shóu	去常熟
qù shóu xī	去熟悉
quán shóu ba	全熟吧
quán shóu le	全熟了
rén bù shóu	人不熟
rén shóu rén	人熟人
róng yì shóu	容易熟
sān fēn shóu	三分熟
shāo shóu le	烧熟了
shēng biàn shóu	生变熟
shēng chī shóu	生吃熟
shēng shóu dì	生熟地
shì cháng shóu	是常熟
shí chéng shóu	十成熟
shí fēn shóu	十分熟
shì shóu me	是熟么
shóu bù shóu	熟不熟
shóu cài yóu	熟菜油
shóu chī hǎo	熟吃好
shóu dài huáng	熟大黄
shóu dàn huáng	熟蛋黄
shóu dāng shí	熟当时
shóu de ba	熟的吧
shóu de kuài	熟得快
shóu de le	熟的了
shóu dì huáng	熟地黄
shóu dú le	熟读了
shóu guī shóu	熟归熟
shóu guò tóu	熟过头
shóu huā shēng	熟花生
shóu huǒ tuǐ	熟火腿
shóu jī dàn	熟鸡蛋
shóu kè ba	熟客吧
shóu làn shí	熟烂时
shóu le ba	熟了吧
shóu le hòu	熟了后
shóu le ma	熟了吗
shóu le me	熟了么
shóu le méi	熟了没
shóu lí gāo	熟梨糕
shóu liàn a	熟练啊
shóu liàn ba	熟练吧
shóu liàn de	熟练地
shóu liàn de	熟练的
shóu liàn dù	熟练度
shóu liàn gōng	熟练工
shóu liàn hòu	熟练后
shóu liàn huó	熟练活
shóu liàn le	熟练了
shóu liàn nà	熟练那
shóu liàn shí	熟练时
shóu liàn xìng	熟练性
shóu liàn yú	熟练于
shóu liàn zhě	熟练者
shóu líng jī	熟龄肌
shóu luò le	熟络了
shóu méi shóu	熟没熟
shóu mǐ fàn	熟米饭
shóu miàn kǒng	熟面孔
shóu niú pái	熟牛排
shóu niú ròu	熟牛肉
shóu nǚ wǎng	熟女网
shóu nǚ xì	熟女系
shóu páng xiè	熟螃蟹
shóu péng yǒu	熟朋友
shóu píng guǒ	熟苹果
shóu qǐ lái	熟起来
shóu rén a	熟人啊
shóu rén ba	熟人吧
shóu rén dài	熟人带
shóu rén duō	熟人多
shóu rén jiān	熟人间
shóu rěn le	熟稔了
shóu rén le	熟人了
shóu rén men	熟人们
shóu rén quān	熟人圈
shóu sān qī	熟三七
shù shàng shóu	树上熟
shóu shí ba	熟食吧
shóu shí diàn	熟食店
shóu shí gāo	熟石膏
shóu shí guì	熟食柜
shóu shí huī	熟石灰
shóu shí le	熟识了
shóu shí lèi	熟食类
shóu shí pǐn	熟食品
shóu shí qū	熟食区
shóu shóu de	熟熟的
shóu shuì de	熟睡的
shóu shuì le	熟睡了
shóu shuì shí	熟睡时
shóu shuì zhōng	熟睡中
shóu tóng gùn	熟铜棍
shóu tóng yóu	熟桐油
shóu tòu hòu	熟透后
shóu tòu le	熟透了
shóu tòu shí	熟透时
shóu xī a	熟悉啊
shóu xī ba	熟悉吧
shóu xī bù	熟悉不
shóu xī de	熟悉的
shóu xī dù	熟悉度
shóu xī gǎn	熟悉感
shóu xī hěn	熟悉很
shóu xī hòu	熟悉后
shóu xī le	熟悉了
shóu xī ma	熟悉吗
shóu xī nǐ	熟悉你
shóu xī rén	熟悉人
shóu xī shí	熟悉时
shóu xī tā	熟悉他
shóu xī xià	熟悉下
shóu yí gè	熟一个
shóu yì xiē	熟一些
shóu yǔ liào	熟语料
shóu yù mǐ	熟玉米
shóu zhī de	熟知的
shóu zhī má	熟芝麻
shóu zhì pǐn	熟制品
shóu zhū yóu	熟猪油
shuì bù shóu	睡不熟
shuì shóu le	睡熟了
sì shū shóu	四书熟
suǒ shóu xī	所熟悉
suǒ shóu zhī	所熟知
tā bù shóu	他不熟
tā chéng shóu	他成熟
tā hěn shóu	他很熟
tā hùn shóu	他混熟
tā shóu dú	他熟读
tā shóu liàn	他熟练
tā shóu luò	他熟络
tā shóu rěn	他熟稔
tā shóu shí	他熟识
tā shóu shuì	他熟睡
tā shóu xī	他熟悉
tā shóu zhī	他熟知
tā shuì shóu	他睡熟
tā tài shóu	他太熟
tā xián shóu	他娴熟
tā xiāng shóu	他相熟
tā yǎn shóu	他眼熟
tā zǎo shóu	他早熟
tài chéng shóu	太成熟
tài shóu le	太熟了
tài shóu liàn	太熟练
tài shóu xī	太熟悉
tài zǎo shóu	太早熟
tàng shóu hòu	烫熟后
tàng shóu le	烫熟了
tè yǎn shóu	特眼熟
tǐng chéng shóu	挺成熟
tuō shóu rén	托熟人
wǎn shóu de	晚熟的
wán shóu le	玩熟了
wǎn shóu qī	晚熟期
wèi bù shóu	喂不熟
wèi chéng shóu	未成熟
wèi shóu de	未熟的
wèi shóu tòu	未熟透
wèi zhǔ shóu	未煮熟
wǒ bù shóu	我不熟
wǒ chéng shóu	我成熟
wǒ dōu shóu	我都熟
wǒ hěn shóu	我很熟
wǒ men shóu	我们熟
wǒ shóu de	我熟得
wǒ shóu de	我熟的
wǒ shóu liàn	我熟练
wǒ shóu shí	我熟识
wǒ shóu shuì	我熟睡
wǒ shóu xī	我熟悉
wǒ shóu zhī	我熟知
wǒ shuì shóu	我睡熟
wǒ xiāng shóu	我相熟
wǒ yǎn shóu	我眼熟
wǒ zǎo shóu	我早熟
wǔ chéng shóu	五成熟
wǔ fēn shóu	五分熟
xiǎn chéng shóu	显成熟
xián shóu dì	娴熟地
xián shóu le	娴熟了
xiān shóu xī	先熟悉
xiāng shóu le	相熟了
xiǎo chéng shóu	小成熟
xìng chéng shóu	性成熟
xìng zǎo shóu	性早熟
yǎn shóu a	眼熟啊
yǎn shóu ba	眼熟吧
yǎn shóu le	眼熟了
yǎn shóu ma	眼熟吗
yǎng bù shóu	养不熟
yě bù shóu	也不熟
yě shóu le	也熟了
yě shóu xī	也熟悉
tàng shóu	烫熟
yǐ chéng shóu	已成熟
yì guō shóu	一锅熟
yì shóu guǒ	异熟果
yì shóu shí	异熟识
yòng shóu le	用熟了
yòu bù shóu	又不熟
yǒu shóu rén	有熟人
yuán méi shóu	园梅熟
zài cháng shóu	在常熟
zài chéng shóu	在成熟
zài chéng shóu	再成熟
zài shóu le	再熟了
zài shóu xī	再熟悉
zǎo chéng shóu	早成熟
